fabian	remolina	carnes	durham_lifspan	durham_fecundityw1	durham_fecundityw3	durham_fecundityw5	durham_fecundityw7	durham_fecundityLifetime	huang_DGRP	huang_AIP	ours_HS_C_1kb	ours_HS_1kb	ours_C_1kb	hoedjes_lifespan	hoedjes_diet	hoedjes_diet_lifespan	genAge_dmel
FBgn0004389	FBgn0041342	FBgn0004870	NA	NA	NA	FBgn0015400	FBgn0262356	NA	FBgn0259246	FBgn0039908	FBgn0003016	FBgn0004369	FBgn0034122	FBgn0033687	FBgn0031195	FBgn0004401	FBcl0457878
FBgn0014135	FBgn0035231	FBgn0025525	NA	NA	NA	FBgn0261514	FBgn0041184	NA	FBgn0264001	FBgn0034075	FBgn0003034	FBgn0004449	FBgn0034129	FBgn0034253	FBgn0031610	FBgn0005674	FBgn0001202
FBgn0010300	FBgn0035470	FBgn0034724	NA	NA	NA	FBgn0261563	FBgn0261804	NA	FBgn0000529	FBgn0034606	FBgn0003090	FBgn0004512	FBgn0034132	FBgn0034275	FBgn0031734	FBgn0010300	FBgn0001225
FBgn0039654	FBgn0011573	FBgn0025463	NA	NA	NA	FBgn0028916	FBgn0000636	NA	FBgn0005592	FBgn0036790	FBgn0003091	FBgn0004606	FBgn0034187	FBgn0034282	FBgn0031736	FBgn0011606	FBgn0001226
FBgn0000228	FBgn0035918	FBgn0033844	NA	NA	NA	FBgn0001970	FBgn0003896	NA	FBgn0040491	FBgn0036789	FBgn0003114	FBgn0004636	FBgn0034223	FBgn0034284	FBgn0032311	FBgn0011760	FBcl0414198
FBgn0031696	FBgn0004876	FBgn0087007	NA	NA	NA	FBgn0015791	FBgn0002023	NA	FBgn0000241	FBgn0020762	FBgn0003118	FBgn0004649	FBgn0034253	FBgn0034438	FBgn0032820	FBgn0014859	FBgn0001230
FBgn0259176	FBgn0015618	FBgn0013432	NA	NA	NA	FBgn0003016	FBgn0032805	NA	FBgn0265598	FBgn0032935	FBgn0003130	FBgn0004797	FBgn0034627	FBgn0034455	FBgn0033005	FBgn0015772	FBgn0036816
FBgn0265598	FBgn0030342	FBgn0013433	NA	NA	NA	FBgn0028645	FBgn0041180	NA	FBgn0020556	FBgn0264325	FBgn0003140	FBgn0005619	FBgn0034628	FBgn0034736	FBgn0033015	FBgn0015803	FBgn0283499
FBgn0004856	FBgn0030348	FBgn0028645	NA	NA	NA	FBgn0028523	FBgn0032810	NA	FBgn0264386	FBgn0013751	FBgn0003149	FBgn0010113	FBgn0034731	FBgn0034770	FBgn0033028	FBgn0016660	FBgn0002566
FBgn0011566	FBgn0030349	FBgn0028644	NA	NA	NA	FBgn0032602	FBgn0005672	NA	FBgn0259822	FBgn0026597	FBgn0003162	FBgn0010246	FBgn0034797	FBgn0034776	FBgn0033058	FBgn0024187	FBcl0442127
FBgn0028525	FBgn0035453	FBgn0038498	NA	NA	NA	FBgn0264695	FBgn0000464	NA	FBgn0263111	FBgn0262870	FBgn0003175	FBgn0010415	FBgn0034829	FBgn0034808	FBgn0033115	FBgn0025613	FBgn0023215
FBgn0040234	FBgn0035452	FBgn0250908	NA	NA	NA	FBgn0032666	FBgn0264443	NA	FBgn0037963	FBgn0000152	FBgn0003254	FBgn0010473	FBgn0035260	FBgn0034880	FBgn0033135	FBgn0025679	FBgn0000565
FBgn0001991	FBgn0030358	FBgn0013753	NA	NA	NA	FBgn0261804	FBgn0032910	NA	FBgn0000256	FBgn0025185	FBgn0003255	FBgn0010551	FBgn0035359	FBgn0035227	FBgn0033137	FBgn0025878	FBgn0023000
FBgn0000250	FBgn0036052	FBgn0000182	NA	NA	NA	FBgn0032671	FBgn0032911	NA	FBgn0002022	FBgn0023407	FBgn0003256	FBgn0010905	FBgn0035501	FBgn0035802	FBgn0033159	FBgn0026238	FBgn0004657
FBgn0031114	FBgn0028858	FBgn0039282	NA	NA	NA	FBgn0000636	FBgn0033212	NA	FBgn0052183	FBgn0004870	FBgn0003319	FBgn0011361	FBgn0035581	FBgn0035817	FBgn0033188	FBgn0026577	FBgn0015269
FBgn0051989	FBgn0035455	FBgn0015907	NA	NA	NA	FBgn0064225	FBgn0085390	NA	FBgn0263986	FBgn0025525	FBgn0003328	FBgn0011676	FBgn0036046	FBgn0036128	FBgn0033196	FBgn0028369	FBgn0037324
FBgn0039722	FBgn0038804	FBgn0038387	NA	NA	NA	FBgn0262117	FBgn0263593	NA	FBgn0261532	FBgn0034724	FBgn0003353	FBgn0011726	FBgn0036514	FBgn0036324	FBgn0033225	FBgn0029717	FBgn0003028
FBgn0022213	FBgn0038796	FBgn0011211	NA	NA	NA	FBgn0260798	FBgn0261588	NA	FBgn0031568	FBgn0260960	FBgn0003435	FBgn0013342	FBgn0036945	FBgn0036490	FBgn0033226	FBgn0029722	FBgn0039044
FBgn0020224	FBgn0038773	FBgn0036449	NA	NA	NA	FBgn0026401	FBgn0033301	NA	FBgn0031563	FBgn0027889	FBgn0003475	FBgn0013469	FBgn0037232	FBgn0036712	FBgn0033275	FBgn0029723	FBgn0086768
FBgn0261353	FBgn0038769	FBgn0040388	NA	NA	NA	FBgn0039979	FBgn0024189	NA	FBgn0036353	FBgn0000163	FBgn0003499	FBgn0013725	FBgn0038303	FBgn0036754	FBgn0033403	FBgn0031037	FBcl0404157
FBgn0259231	FBgn0030408	FBgn0011206	NA	NA	NA	FBgn0039994	FBgn0010114	NA	FBgn0035690	FBgn0087007	FBgn0003520	FBgn0013733	FBgn0038536	FBgn0036770	FBgn0033405	FBgn0031702	FBgn0000273
FBgn0030954	FBgn0030400	FBgn0040237	NA	NA	NA	FBgn0262970	FBgn0263102	NA	FBgn0034731	FBgn0013433	FBgn0003525	FBgn0013765	FBgn0039136	FBgn0036844	FBgn0033446	FBgn0031738	FBcl0467549
FBgn0004107	FBgn0031139	FBgn0000206	NA	NA	NA	FBgn0250830	FBgn0033679	NA	FBgn0034636	FBgn0028645	FBgn0003545	FBgn0013972	FBgn0039137	FBgn0037045	FBgn0033448	FBgn0032330	FBgn0040294
FBgn0032821	FBgn0030375	FBgn0004893	NA	NA	NA	FBgn0261387	FBgn0008654	NA	FBgn0033830	FBgn0028644	FBgn0003731	FBgn0014032	FBgn0039140	FBgn0038063	FBgn0033466	FBgn0032707	FBgn0243512
FBgn0016131	FBgn0038732	FBgn0000210	NA	NA	NA	FBgn0033000	FBgn0033828	NA	FBgn0034356	FBgn0032629	FBgn0003861	FBgn0014189	FBgn0039213	FBgn0038125	FBgn0033467	FBgn0032723	FBcl0475188
FBgn0000276	FBgn0038733	FBgn0010300	NA	NA	NA	FBgn0040849	FBgn0033861	NA	FBgn0034693	FBgn0038084	FBgn0003963	FBgn0014343	FBgn0039280	FBgn0038139	FBgn0033479	FBgn0032731	FBgn0003210
FBgn0039590	FBgn0038737	FBgn0013755	NA	NA	NA	FBgn0033010	FBgn0085265	NA	FBgn0036332	FBgn0250908	FBgn0004101	FBgn0015278	FBgn0039373	FBgn0038499	FBgn0033483	FBgn0032733	FBgn0064227
FBgn0032798	FBgn0038734	FBgn0262475	NA	NA	NA	FBgn0259247	FBgn0013733	NA	FBgn0036330	FBgn0035696	FBgn0004107	FBgn0015351	FBgn0039374	FBgn0038851	FBgn0033484	FBgn0032763	FBgn0033672
FBgn0032793	FBgn0035397	FBgn0264001	NA	NA	NA	FBgn0050440	FBgn0262739	NA	FBgn0034713	FBgn0008635	FBgn0004168	FBgn0015391	FBgn0039965	FBgn0039381	FBgn0033490	FBgn0032769	FBcl0466209
FBgn0032790	FBgn0035424	FBgn0003502	NA	NA	NA	FBgn0262736	FBgn0013770	NA	FBgn0030058	FBgn0015000	FBgn0004197	FBgn0015524	FBgn0040823	FBgn0039420	FBgn0033491	FBgn0032817	FBgn0015805
FBgn0030342	FBgn0035437	FBgn0266756	NA	NA	NA	FBgn0026761	FBgn0033969	NA	FBgn0031835	FBgn0030563	FBgn0004362	FBgn0015586	FBgn0040849	FBgn0039544	FBgn0033494	FBgn0032857	FBgn0003301
FBgn0030348	FBgn0035400	FBgn0259228	NA	NA	NA	FBgn0033079	FBgn0034071	NA	FBgn0031857	FBgn0052598	FBgn0004369	FBgn0015600	FBgn0044051	FBgn0039560	FBgn0033540	FBgn0032881	FBgn0003308
FBgn0030349	FBgn0038705	FBgn0001991	NA	NA	NA	FBgn0029131	FBgn0034122	NA	FBgn0035346	FBgn0000180	FBgn0004400	FBgn0015903	FBgn0044328	FBgn0039561	FBgn0033550	FBgn0032882	FBgn0283472
FBgn0002036	FBgn0038731	FBgn0264386	NA	NA	NA	FBgn0033081	FBgn0034121	NA	FBgn0035437	FBgn0039282	FBgn0004426	FBgn0016694	FBgn0046214	FBgn0039566	FBgn0033558	FBgn0032883	FBgn0025391
FBgn0032817	FBgn0040648	FBgn0259822	NA	NA	NA	FBgn0013732	FBgn0034202	NA	FBgn0037562	FBgn0035625	FBgn0004427	FBgn0016797	FBgn0046692	FBgn0039589	FBgn0033564	FBgn0032886	FBcl0426923
FBgn0029664	FBgn0038690	FBgn0263111	NA	NA	NA	FBgn0033108	FBgn0034201	NA	FBgn0038683	FBgn0085284	FBgn0004449	FBgn0016930	FBgn0050115	FBgn0039590	FBgn0033569	FBgn0032894	FBgn0014028
