lfc_ctrl	p_ctrl	FDR_ctrl	lfc_hs	p_hs	FDR_hs	diffexp_in	lfc_1
FBgn0025642	-0.0211101329820885	0.919706381724504	0.9467361599648	-0.503794992613936	0.0309207441971921	0.0829238139833787	none	no
FBgn0004650	-1.44761961848348	1.64164436786014e-07	1.26098158164626e-06	0.125535272717302	0.48063346757889	0.623498252748227	ctrl	yes
FBgn0024362	-0.483390636699326	1.12897653606404e-09	1.39714046384796e-08	-0.0455548422019116	0.519818626263256	0.65829218072438	ctrl	no
FBgn0024364	-0.187336367582889	0.220745912827098	0.342104449596446	0.447638971604535	0.00212441016469842	0.00973465027190732	hs	no
FBgn0029573	0.275631253111003	0.237791063590621	0.363310394609691	-0.00798689999884162	0.96428173648984	0.979720297290012	none	no
FBgn0024987	0.232630188320602	0.00418332000213706	0.0111340984694772	0.0314199771079923	0.668967149022153	0.781710375229034	ctrl	no
FBgn0023169	0.145003916010987	0.00698568102290657	0.0174842257200241	0.119046492101567	0.0154687304176885	0.0495716948059514	both	no
FBgn0052813	0.537719067352566	0.000530081626150047	0.00179684501535024	0.0183662176728613	0.887166361533257	0.933431736662377	ctrl	no
FBgn0024985	1.12902922745323	7.15752715772615e-32	8.13795926318552e-30	0.842501809651813	3.10193551015713e-21	1.49152537856234e-19	both	yes
FBgn0027794	-0.326540581896837	0.000570073084728988	0.00192047769130151	-0.0124100086550777	0.874404330913523	0.925715157315335	ctrl	no
FBgn0027795	0.237289931202788	0.285521939432304	0.419557346379051	-0.324326251128142	0.112349832676887	0.211467222567378	none	no
FBgn0024986	0.371623477186365	1.31186283750731e-06	8.26254060668912e-06	0.167194437375397	0.0177313969113478	0.0549044531311662	none	no
FBgn0000826	-1.93481716024545	1.48418498700687e-08	1.47137866786376e-07	-0.120957507292995	0.508176819026115	0.6475309338863	ctrl	yes
FBgn0024365	0.302921810292416	0.000157145900674939	0.000600576857796555	0.287338921826146	9.68591818222851e-05	0.000657065239024389	both	no
FBgn0024360	-0.218124411142319	0.0725803828714197	0.134173463850982	0.0827144354419726	0.440314119526335	0.5857438896563	none	no
FBgn0024366	-0.213843276264996	0.287282371366898	0.421591959517966	-0.0614010943721481	0.712861311385746	0.815264167411507	none	no
FBgn0025641	-0.0990316090889976	0.34708092185658	0.488257283421132	0.0405357213852497	0.669755807730506	0.782361370010538	none	no
FBgn0028550	1.29680315531276	5.34382791904212e-17	1.80581677202306e-15	0.819169815366544	6.80137984036579e-09	9.85883943659929e-08	both	yes
FBgn0026876	-1.13807865835573	2.70834359938031e-05	0.000124522200451711	0.0444512946804739	0.802891942614556	0.878024802488516	ctrl	yes
FBgn0040366	-1.33752084576207	8.26700321255578e-09	8.6763788524083e-08	0.0170994200831999	0.917982997380161	0.950733168379729	ctrl	yes
FBgn0040368	0.0543714299319125	0.802460361549946	0.866489301589475	-0.439157834786729	0.0583446590244714	0.12988618259272	none	no
FBgn0029580	-0.47977667859073	0.00723081318926126	0.0180316029154185	-0.903733544975097	3.52789799476519e-07	3.89352948562812e-06	both	no
FBgn0025383	0.387981370176	0.089312946652835	0.159706882817119	0.251372293319207	0.188120965893812	0.310876660519449	none	no
FBgn0025394	-0.0951697064393376	0.273413052561014	0.405862024847472	0.0922837008231452	0.242327655362749	0.376031611925563	none	no
FBgn0001189	0.458645098255013	4.03207063230683e-05	0.00017767481207763	0.322129823748303	0.00153791479806222	0.00736222535804106	both	no
FBgn0025378	0.196313928142938	0.387382627627345	0.528205044416299	-0.445214430958228	0.0582891671530703	0.129842093770564	none	no
