gene	both	hs	ctrl	sig	sigexon	signotexon	snptype
FBgn0027579	0	0	0	0	0	0	notsig
FBgn0051053	0	0	0	0	0	0	notsig
FBgn0039559	1	0	0	1	1	0	exon
FBgn0039560	0	0	0	0	0	0	notsig
FBgn0039561	0	0	0	0	0	0	notsig
FBgn0039562	0	0	0	0	0	0	notsig
FBgn0039563	0	1	0	1	1	0	exon
FBgn0039564	0	0	0	0	0	0	notsig
FBgn0039565	0	0	0	0	0	0	notsig
FBgn0259990	0	0	0	0	0	0	notsig
FBgn0039566	0	0	0	0	0	0	notsig
FBgn0003890	0	1	0	1	0	1	noexon
FBgn0039568	0	0	0	0	0	0	notsig
FBgn0267756	0	0	0	0	0	0	notsig
FBgn0284420	0	0	0	0	0	1	noexon
FBgn0085391	1	0	0	1	0	1	noexon
FBgn0267746	0	0	0	0	0	1	noexon
FBgn0267745	0	0	0	0	0	0	notsig
FBgn0267747	0	0	0	0	0	0	notsig
FBgn0085383	1	0	0	1	0	1	noexon
FBgn0267748	0	0	0	0	0	0	notsig
FBgn0267749	0	0	0	0	0	0	notsig
FBgn0266401	0	0	0	0	0	0	notsig
FBgn0262588	0	0	0	0	0	1	noexon
FBgn0262587	0	0	0	0	0	1	noexon
FBgn0085465	0	0	0	0	0	0	notsig
FBgn0085466	0	0	0	0	0	0	notsig
FBgn0002865	0	0	0	0	0	0	notsig
FBgn0004171	0	0	0	0	0	0	notsig
FBgn0039576	0	0	0	0	0	0	notsig
FBgn0265160	0	0	0	0	0	0	notsig
FBgn0267772	0	0	0	0	0	0	notsig
FBgn0039577	0	0	0	0	0	0	notsig
FBgn0261618	1	0	0	1	1	0	exon
FBgn0267773	0	0	0	0	0	0	notsig
FBgn0039580	0	0	0	0	0	0	notsig
FBgn0039581	0	0	0	0	0	0	notsig
FBgn0267774	0	0	0	0	0	0	notsig
FBgn0039582	0	1	0	1	0	1	noexon
FBgn0039584	1	0	0	1	0	1	noexon
FBgn0039585	1	0	0	1	0	1	noexon
FBgn0013813	0	1	0	1	1	0	exon
FBgn0051051	1	0	0	1	1	0	exon
FBgn0003137	0	1	0	1	0	1	noexon
FBgn0039588	0	0	0	0	0	1	noexon
FBgn0000659	0	0	0	0	0	1	noexon
FBgn0262741	0	0	0	0	0	0	notsig
FBgn0263388	0	0	0	0	0	1	noexon
FBgn0026400	0	0	0	0	0	0	notsig
FBgn0001215	0	0	0	0	0	0	notsig
FBgn0082960	0	0	0	0	0	0	notsig
FBgn0082976	0	0	0	0	0	0	notsig
FBgn0082959	0	0	0	0	0	0	notsig
FBgn0082958	0	0	0	0	0	0	notsig
FBgn0082975	0	0	0	0	0	0	notsig
FBgn0039589	0	0	0	0	0	0	notsig
FBgn0039590	1	1	0	1	1	1	both
FBgn0039591	0	0	0	0	0	0	notsig
FBgn0267952	0	0	0	0	0	0	notsig
FBgn0039592	0	0	0	0	0	0	notsig
FBgn0051050	0	0	0	0	0	0	notsig
FBgn0053346	0	0	0	0	0	0	notsig
FBgn0039593	0	0	0	0	0	0	notsig
FBgn0039594	1	0	0	1	0	1	noexon
FBgn0027655	0	0	0	0	0	0	notsig
FBgn0039595	1	0	0	1	0	1	noexon
FBgn0039596	1	0	0	1	1	1	both
FBgn0039597	0	0	0	0	0	0	notsig
FBgn0039598	0	0	0	0	0	0	notsig
FBgn0266257	0	0	0	0	0	0	notsig
FBgn0085324	0	0	0	0	0	0	notsig
FBgn0039599	0	0	0	0	0	1	noexon
FBgn0261289	0	0	0	0	0	0	notsig
FBgn0005642	0	0	0	0	0	0	notsig
FBgn0039600	1	0	0	1	1	0	exon
FBgn0039601	1	0	0	1	1	0	exon
FBgn0039602	0	0	0	0	0	0	notsig
FBgn0024273	0	1	0	1	0	1	noexon
FBgn0015589	1	0	0	1	0	1	noexon
FBgn0264324	1	0	0	1	0	1	noexon
FBgn0265274	0	0	0	0	0	0	notsig
FBgn0053203	1	0	0	1	0	1	noexon
FBgn0039609	1	0	0	1	1	0	exon
FBgn0039611	0	0	0	0	0	0	notsig
FBgn0039612	0	0	0	0	0	0	notsig
FBgn0039613	0	0	0	0	0	0	notsig
FBgn0027578	0	0	0	0	0	0	notsig
FBgn0265998	1	0	0	1	1	0	exon
FBgn0039616	0	0	0	0	0	0	notsig
FBgn0039617	0	1	1	1	0	1	noexon
FBgn0267229	0	0	0	0	0	0	notsig
FBgn0039620	1	0	1	1	0	1	noexon
FBgn0265204	0	0	0	0	0	0	notsig
FBgn0267127	0	0	0	0	0	0	notsig
FBgn0039621	0	0	0	0	0	0	notsig
FBgn0039623	0	0	0	0	0	0	notsig
FBgn0041780	0	0	0	0	0	0	notsig
FBgn0266404	0	0	0	0	0	0	notsig
FBgn0039625	0	0	0	0	0	0	notsig
FBgn0027873	0	0	0	0	0	0	notsig
FBgn0039626	0	0	0	0	0	0	notsig
FBgn0003093	0	0	0	0	0	0	notsig
FBgn0039627	0	0	0	0	0	0	notsig
FBgn0039628	0	0	0	0	0	0	notsig
FBgn0039629	0	0	0	0	0	0	notsig
FBgn0267776	0	0	0	0	0	0	notsig
FBgn0039630	0	0	0	0	0	0	notsig
FBgn0039631	0	0	0	0	0	0	notsig
FBgn0039632	0	0	0	0	0	0	notsig
FBgn0039633	1	1	0	1	1	1	both
FBgn0266390	0	0	0	0	0	0	notsig
FBgn0039634	0	0	0	0	0	0	notsig
FBgn0039635	0	0	0	0	0	0	notsig
FBgn0039636	0	0	0	0	0	0	notsig
FBgn0005596	0	0	0	0	0	0	notsig
FBgn0039637	1	0	0	1	1	0	exon
FBgn0039638	0	0	0	0	0	0	notsig
FBgn0028671	0	0	0	0	0	0	notsig
FBgn0039639	0	0	0	0	0	0	notsig
FBgn0039640	0	0	0	0	0	0	notsig
FBgn0039641	0	0	0	0	0	0	notsig
FBgn0039642	0	0	0	0	0	0	notsig
FBgn0014869	0	0	0	0	0	0	notsig
FBgn0041588	0	0	0	0	0	0	notsig
FBgn0041186	0	0	0	0	0	0	notsig
FBgn0028692	0	0	0	0	0	0	notsig
FBgn0039644	0	0	0	0	0	0	notsig
FBgn0039645	1	0	0	1	1	0	exon
FBgn0039647	0	1	0	1	0	1	noexon
FBgn0039648	1	0	0	1	1	0	exon
FBgn0014427	1	0	0	1	1	0	exon
FBgn0039650	0	0	0	0	0	0	notsig
FBgn0039651	0	0	0	0	0	0	notsig
FBgn0051044	0	0	0	0	0	0	notsig
FBgn0029176	0	0	0	0	0	0	notsig
FBgn0062442	0	0	0	0	0	0	notsig
FBgn0039654	1	0	0	1	1	0	exon
FBgn0039655	0	0	0	0	0	0	notsig
FBgn0028476	0	0	0	0	0	0	notsig
FBgn0039656	0	0	0	0	0	0	notsig
FBgn0051427	0	0	0	0	0	0	notsig
FBgn0051445	0	0	0	0	0	0	notsig
FBgn0263236	1	1	0	1	1	0	exon
FBgn0003525	1	0	0	1	1	0	exon
FBgn0267104	0	0	0	0	0	0	notsig
FBgn0267128	0	0	0	0	0	1	noexon
FBgn0039659	0	0	0	0	0	1	noexon
FBgn0015622	1	0	0	1	1	1	both
FBgn0267107	0	0	0	0	0	1	noexon
FBgn0267106	0	0	0	0	0	0	notsig
FBgn0004369	1	1	0	1	1	1	both
FBgn0264792	0	0	0	0	0	0	notsig
FBgn0039663	1	0	0	1	1	0	exon
FBgn0039664	0	0	0	0	0	0	notsig
FBgn0040623	0	0	0	0	0	0	notsig
FBgn0039665	0	0	0	0	0	0	notsig
FBgn0039666	0	0	0	0	0	0	notsig
FBgn0039667	1	0	0	1	1	0	exon
FBgn0039668	0	1	0	1	0	1	noexon
FBgn0039669	0	0	0	0	0	1	noexon
FBgn0263588	0	0	0	0	0	1	noexon
FBgn0000492	0	0	0	0	0	1	noexon
FBgn0039670	0	0	0	0	0	0	notsig
FBgn0039671	0	0	0	0	0	0	notsig
FBgn0051041	0	0	0	0	0	0	notsig
FBgn0086361	1	0	0	1	0	1	noexon
FBgn0039673	0	0	0	0	0	0	notsig
FBgn0262873	1	0	0	1	1	0	exon
FBgn0039674	1	0	0	1	0	1	noexon
FBgn0266137	1	0	1	1	1	1	both
FBgn0039675	0	0	0	0	0	0	notsig
FBgn0039676	0	0	0	0	0	0	notsig
FBgn0039677	0	0	0	0	0	0	notsig
FBgn0039678	0	0	0	0	0	0	notsig
FBgn0039679	0	0	0	0	0	0	notsig
FBgn0025457	0	0	0	0	0	0	notsig
FBgn0039680	0	0	0	0	0	0	notsig
FBgn0039681	0	0	0	0	0	0	notsig
FBgn0013972	1	1	0	1	1	0	exon
FBgn0039682	1	0	0	1	1	0	exon
FBgn0039683	0	0	0	0	0	0	notsig
FBgn0267129	0	0	0	0	0	1	noexon
FBgn0039684	0	0	0	0	0	0	notsig
FBgn0250832	0	0	0	0	0	0	notsig
FBgn0039685	0	0	0	0	0	0	notsig
FBgn0039686	1	0	0	1	1	0	exon
FBgn0267777	0	0	0	0	0	0	notsig
FBgn0085325	0	0	0	0	0	0	notsig
FBgn0024841	0	0	0	0	0	0	notsig
FBgn0039687	0	0	0	0	0	0	notsig
FBgn0042213	0	0	0	0	0	0	notsig
FBgn0039688	0	0	0	0	0	0	notsig
FBgn0027583	0	0	0	0	0	0	notsig
FBgn0039689	0	0	0	0	0	0	notsig
FBgn0039690	0	0	0	0	0	0	notsig
FBgn0027518	0	0	0	0	0	0	notsig
FBgn0267778	0	0	0	0	0	0	notsig
FBgn0039691	0	0	0	0	0	0	notsig
FBgn0260990	0	0	0	0	0	0	notsig
FBgn0266258	0	0	0	0	0	0	notsig
FBgn0001297	1	1	0	1	1	1	both
FBgn0039694	1	0	0	1	1	0	exon
FBgn0262112	1	0	0	1	1	0	exon
FBgn0039696	0	0	0	0	0	0	notsig
FBgn0019972	0	0	0	0	0	0	notsig
FBgn0039697	0	0	0	0	0	0	notsig
FBgn0039698	0	0	0	0	0	0	notsig
FBgn0002924	0	0	0	0	0	0	notsig
FBgn0000247	1	0	0	1	1	0	exon
FBgn0039702	0	0	0	0	0	0	notsig
FBgn0039703	0	0	0	0	0	0	notsig
FBgn0039704	0	0	0	0	0	0	notsig
FBgn0039705	0	0	0	0	0	0	notsig
FBgn0260969	0	0	0	0	0	0	notsig
FBgn0039707	0	0	0	0	0	0	notsig
FBgn0039709	0	0	0	0	0	0	notsig
FBgn0039710	0	0	0	0	0	0	notsig
FBgn0039711	0	0	0	0	0	0	notsig
FBgn0051032	0	0	0	0	0	0	notsig
FBgn0039712	0	0	0	0	0	0	notsig
FBgn0039713	0	0	0	0	0	0	notsig
FBgn0065066	0	0	0	0	0	0	notsig
FBgn0039714	0	1	0	1	0	1	noexon
FBgn0083969	0	0	0	0	0	0	notsig
FBgn0051038	1	0	0	1	1	0	exon
FBgn0039718	0	0	0	0	0	0	notsig
FBgn0039719	1	0	0	1	0	1	noexon
FBgn0051036	1	0	0	1	0	1	noexon
FBgn0039722	0	0	0	0	0	0	notsig
FBgn0003861	1	0	0	1	1	1	both
FBgn0003357	0	0	0	0	0	0	notsig
FBgn0003356	0	0	0	0	0	0	notsig
FBgn0003358	1	0	0	1	0	1	noexon
FBgn0039723	0	0	0	0	0	0	notsig
FBgn0051202	0	0	0	0	0	0	notsig
FBgn0051040	0	1	0	1	1	0	exon
FBgn0260759	0	0	0	0	0	0	notsig
FBgn0260760	0	0	0	0	0	0	notsig
FBgn0039726	0	0	0	0	0	0	notsig
FBgn0039727	0	1	0	1	1	0	exon
FBgn0004622	1	1	0	1	1	1	both
FBgn0039728	1	0	0	1	1	1	both
FBgn0000032	0	0	0	0	0	0	notsig
FBgn0039730	0	0	0	0	0	0	notsig
FBgn0039731	0	0	0	0	0	0	notsig
FBgn0039732	0	0	0	0	0	0	notsig
FBgn0039733	0	0	0	0	0	0	notsig
